id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1579186,花牛,1187,水果,,苹果类,2.0,4.0,3.0,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579185,阿克苏,1187,水果,,苹果类,5.5,6.0,5.75,新疆,冰糖心,斤,2024-03-02 00:00:00,,138,,admin,,,
1579184,国光,1187,水果,,苹果类,2.5,2.8,2.65,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579183,寒富苹果,1187,水果,,苹果类,2.2,2.8,2.5,辽宁,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579182,阳光玫瑰,1187,水果,,葡萄类,12.0,23.0,17.5,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579181,红提,1187,水果,,葡萄类,8.0,12.0,10.0,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579180,克伦生,1187,水果,,葡萄类,9.0,14.0,11.5,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579179,红宝石,1187,水果,,葡萄类,6.0,9.0,7.5,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579178,巨峰,1187,水果,,葡萄类,4.0,4.5,4.25,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579177,辽峰,1187,水果,,葡萄类,9.0,13.0,11.0,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579176,台农,1187,水果,,芒果类,7.0,7.5,7.25,,小,斤,2024-03-02 00:00:00,,138,,admin,,,
1579175,台农,1187,水果,,芒果类,8.5,9.0,8.75,,大,斤,2024-03-02 00:00:00,,138,,admin,,,
1579174,玉纹,1187,水果,,芒果类,12.0,13.0,12.5,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579173,青皮,1187,水果,,芒果类,6.0,6.5,6.25,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579172,澳芒,1187,水果,,芒果类,13.0,14.0,13.5,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579171,高乐蜜,1187,水果,,芒果类,6.0,6.5,6.25,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579170,水仙芒果,1187,水果,,芒果类,8.0,8.5,8.25,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579169,美早,1187,水果,,樱桃类,50.0,130.0,90.0,,,斤,2024-03-02 00:00:00,,138,,admin,,,
1579168,白条猪,1189,肉禽蛋,1205,猪肉类,9.0,9.0,9.0,,瘦,斤,2024-03-02 00:00:00,,138,,admin,,,
1579167,白条猪,1189,肉禽蛋,1205,猪肉类,8.0,8.0,8.0,,肥,斤,2024-03-02 00:00:00,,138,,admin,,,
